,0
429,"Job Title: Water Policy & Programs OfficerJob Grade / Classification: Environment Officer Class 7Employment Type: OngoingLocation: Flexible across Newcastle, Parramatta, Queanbeyan
 

Do you have experience in water management issues in inland or coastal systems?
Would you like to use your skills to improve our natural environment?
Do you work well in a collaborative team?

 
The NSW Department of Planning, Infrastructure and Environment (DPIE) has an exciting opportunity for a Water Policy & Programs Officer to assist in the development and review of operational water policies, and in the provision of advice and technical support to facilitate the state-wide delivery of rural floodplain management planning programs. 
The successful applicants will work collaboratively with staff across DPIE and other NSW government agencies to inform policy development and reviews, develop and implement sound operational approaches and provide guidance and training to operational officers. Preparing reports, briefing notes and ministerial correspondence; as well as sourcing data and information to identify emerging issues whilst tracking project progress will be key responsibilities.
About You
To be successful in this role you will be a highly motivated environmental scientist, engineer or planner with exceptional communication skills and a successful track record of delivering natural resource management projects.  
You will be a team-player with an excellent understanding of water management issues associated with inland and coastal systems. You will have experience working to competing deadlines and the ability to quickly distil complex information and present it to a wide audience.
Key Accountabilities

Provide technical input and advice to support interagency committees in their decision-making on environmental water issues across NSW.
Analyse and synthesise environmental data to support operational water management projects.
Coordinate interagency meetings including preparation of background papers to support review of water management issues.
Assist with spatial data analysis and map preparation for presentation in reports.
Prepare ministerial correspondence, briefing notes and meeting minutes.
Participate as part of a multi-disciplinary team in the resolution of complex water management issues. 

Essential Requirements

Appropriate degree-level tertiary qualifications in environmental science, engineering, natural resource management or related discipline
Demonstrated knowledge of water management legislation, and water policy issues that involve consideration of environmental water management with experience in data collection, analysis and report writing.
Ability to work independently and as part of a team in researching and developing specific responses to current or emerging public sector and/ or environmental issues.

For more information on the role, read the full Role Description here.
To Apply
If excited by the information above, we look forward to receiving your application, including a copy of your resume and cover letter expressing your interest and suitability for the role. The information provided in your application needs to show how you meet the focus capabilities and other essential requirements of the role.
The following links are aimed at aiding your application submission:

Application Guide
Applying for a role in the NSW public sector

 
Applications close Sunday 11 October at 11:55PM. 
Salary starts at $93,326 + super. 
Should you require further information about the role please contact Michelle Cavallaro on 0412 861 767.
A Recruitment Pool may be established for future temporary and ongoing roles with similar focus capabilities. The Recruitment Pool may be available to hiring managers from DPIE and other NSW Public Sector agencies over an 18-month period.  
 
Agency Overview
The Department of Planning Industry and Environment – Environment Energy and Science aims to enrich life in NSW by creating thriving environments, communities and economies. For more information go to www.environment.nsw.gov.au. 
EES delivers integrated and customer focused services at the regional and local level to strengthen communities and partnerships across NSW. This includes services, programs and grants to support land use planning, threatened species, native vegetation, education, community engagement, energy efficiency, volunteering, environmental water management, coast and flood protection, compliance and enforcement, adapting to a changing climate and private land conservation. 
Our Commitment to Diversity & Flexibility
The DPIE strives to be an inclusive workplace for all people. We recognise that we operate in a diverse community and welcome and encourage applications from all ages and genders, Aboriginal and Torres Strait Islander peoples, culturally and linguistically diverse groups, the LGBTIQ+ community, veterans, refugees and those with disability.
We understand that flexibility means different things to different people and are committed to offering flexible work arrangements where and when possible."
430,"
Innovative, collaborative and positive team-orientated environment
Modern, world-class facilities
Convenient Randwick location, close to transport

 
Every year in Australia there are around 950 new children diagnosed with cancer. To improve the outcomes of children with cancer, the Children’s Cancer Institute (CCI) initiated the Zero Childhood Cancer national personalised medicine trial (PRISM). This trial aims to match patients to the optimal treatment guided by molecular tumour profiling, high-throughput in vitro drug testing on patient-derived model systems and in vivo drug validation in patient-derived xenograft models. The Bioinformatics group at CCI plays a crucial role in unravelling and understanding the molecular basis and drivers of a child’s tumour and is essential for the integrative analyses to link molecular profiling data to in vitro generated drug efficacy data for drug hit calling and prioritisation for individual PRISM patients and the identification of novel biomarker-drug efficacy associations for future patients.
As a key partner of the Zero Childhood Cancer program, the Translational Tumour Biology (TTB) group at CCI is deeply involved in the molecular profiling and drug analysis of the program and focusses on further understanding how altered genes drive cancer and on how to translate this knowledge into new clinically applicable treatment interventions. The TTB group believes that understanding the molecular mechanisms used by cancer driver genes is the key to more effective therapies with reduced toxicity.
Currently, we are looking for a strong and creative programmer with an eye for detail and a passion for biological research to:

Analyse high-throughput drug screening data within the PRISM trial
Develop an integrative data analyses platform for dynamic correlations between in vitro drug efficacy data and molecular profiling data
Support related research projects within the Translational Tumour Biology group
Perform benchmarking analysis of software and develop and optimise key pipelines
Contribute to the bioinformatics education of other researchers.

The bioinformatician will be embedded within the Translational Tumour Biology research group, while strongly interacting with and being fully supported by the Bioinformatics group. This unique position not only offers the opportunity for the candidate to develop new analysis approaches and make new informatic discoveries, but also to create own research questions.
 
Responsibilities will include, but are not limited to:

Develop and optimize algorithms to analyse, visualise and summarise in vitro drug efficacy data generated within the national PRISM trial to support drug curation meetings in which drug screening results are shared and discussed with treating clinicians and other team members involved
Develop an integrative data analyses platform for dynamic correlations between in vitro drug efficacy data and molecular profiling data
Develop and implement algorithms using omics data and in vitro efficacy data to predict effective drug combinations
Support spin-off research projects resulting from the precision medicine program
Support research projects and grant administrative activities of the Translational Tumour Biology group
Statistical analysis for clinical and bench-side research
Assess, understand and implement bioinformatics tools and generate bioinformatics pipelines
Teach, assist and mentor scientists in the field of bioinformatics
Any other tasks required by the team leader or delegated senior team members

 
Qualifications, experience and skills required:

Minimum BSc in either Bioinformatics, Biology, Molecular Biology, Computer Science or Statistics
Strong expertise in at least one of the following areas:
    
Bioinformatics
Computer Science
Programming


Expertise in at least two of bash, R, python, or perl is essential
Expertise in at least one of the following areas is desirable:
    
Genomics
Genetics
Next generation sequencing
Cancer-, cell- or molecular biology


Expertise in the interpretation of in vitro drug testing data is desirable, but not essential
Highly motivated, creative and empathetic is essential
Strong abilities in problem-solving and independent thinking

 
This is an excellent opportunity to work in an inspiring workplace. You'll be rewarded with a friendly and professional flexible work environment, comprehensive on-campus facilities, competitive salary, salary packaging options, access to a leading EAP program and regular social activities. Join a group of dedicated people in a performance-driven environment to achieve success and discover what it's like to look forward to coming to work every day and make a real difference. We're looking for people who share our values of accountability, integrity and camaraderie, teamwork, sharing and excellence, success and satisfaction.

A detailed job description and additional information about Children's Cancer Institute can be found on our website at: www.childrenscancerinstitute.org.au. We embrace diversity and encourage applications from people from diverse backgrounds and cultures.

To apply, please click the 'APPLY' link and forward both your resume AND cover letter clearly addressing the qualifications, experience and skills required. Note: Applications will be reviewed prior to the closing date; which is dependent on the status of the recruitment process.
 "
431,"The Role:Our Client is an ASX listed biotechnology company with their head office based in South Brisbane. They are seeking a QC & Validation Scientist to conduct routine QC testing along with validation of laboratory instrumentation. On offer is a full-time 6 month contract with a view to extension or permanency!Validation projects may include basic or specialised immunoassay instrumentation such as plate readers (UV-VIS, fluorescent), sonicators, incubators, balances and more. Some equipment may be more customised, however if you have the aptitude and attitude to apply your knowledge you will be highly successful in this role.This exciting opportunity will be part of a team who are developing a novel COVID-19 assay - and that’s the tip of the iceberg! This growing start-up requires someone with a proactive approach and the ability to work effectively in a small team environment. Responsibilities will includePerforming routine IPQC and finished goods testing;Validation of laboratory instrumentation;Analysis and report of data;Contributing to novel product development requirements and the regulated QMS.Skills & Experience:To be considered for this position, applicants must have:Bachelor Degree in the Life Science stream;QA and/or QC experience under ISO 9001 and/or ISO13485;Exposure to validation procedures - IQ/OQ/PQ;A good understanding of immunoassays and related laboratory equipment;Be organised with the ability to meet tight deadlines and regulatory requirements;A proactive approach;Be a team player who can also apply themselves autonomously.NOTE: Applications will be assessed promptly, so don’t hesitate and apply now! For more information please contact the Evolve Brisbane office on 07 3175 0680.How to Apply: Click on the ""Apply Now"" button with a cover letter addressing the selection criteria above AND a detailed resume in WORD format (PDFs can be corrupted / not processed). Note: Applications only accepted from Australian / NZ residents with valid Australian work rights or temporary residents on work visas e.g. Working Holiday Visa.How to Register with Evolve:For upcoming positions please click on the ""Apply Now” button. By applying to any of our roles you will also be registered for future positions unless you request not to be.Why Evolve Scientific Recruitment?Evolve is an award winning agency specialising in scientific/technical recruitment in: Pharmaceutical, Food, Biotechnology, Chemical, Petrochemical, Environmental, Health Services, Life Sciences, Mining and more.QLD Labour Hire Licence Number: LHL-00906-L1D2V. "
432,"The School of Medical Sciences (SoMS) is the largest School within UNSW Medicine, and one of the largest at UNSW. The School is based largely within the Wallace Wurth (Medicine) Building on the Kensington campus, but also includes the Museum of Human Disease in the Samuels Building and the UNSW Lifestyle Clinic on High Street, Randwick. Single Molecule Science UNSW
The Opportunity  

3-Year, Full time Fixed-term opportunity
Level A: $77K - $103K (+ 17% superannuation & leave loading)
Sydney, Australia based.

The role of Postdoctoral Fellow is an exciting opportunity to work closely with senior researchers and provide support across a number of ongoing projects in various areas of the research. The successful applicant will drive a research project in the Ananthanarayanan group, experimentally support other students and researchers in the group, help define and drive new research directions aligned with the overall goals of the group and the single molecule science unit.
Please refer to the position description for more details.  Level A - Postdoctoral Fellow - SOMS
Skills and Experience

PhD in bioengineering, cell biology, biophysics, or related discipline. Candidates who have submitted their PhD thesis may also apply but joining will be contingent on award of degree.
Demonstrated experience in microscopy techniques, including total interal reflection fluorescence microscopy and confocal microscopy
Demonstrated experience in single-molecule imaging, particularly in in cellulo mammalian systems
Demonstrated experience in single-particle tracking and biophysical characterisation of single-molecule trajectories
Demonstrated expertise in cell and tissue culture techniques
Demonstrated expertise in protein depletion methodologies including siRNA or CRISPR
Demonstrated expertise in cell biology, particularly cytoskeletal and motor protein biology, and cargo trafficking
Demonstrated expertise in molecular biology techniques
Proven track record in publishing scientific research papers and communicating research at national and international conferences via poster and/or oral presentations
Excellent oral and written communication skills, attention to detail and the ability to liaise effectively with all levels of staff, students, management, collaborators and members of the public with relevant data analysis skills
Proven ability in working effectively as a member of a multidisciplinary team and in supervising technical staff and students
Knowledge of health and safety responsibilities and commitment to attending relevant health and safety training

Please apply online - applications will not be accepted if sent to the contact listed.
Contact (For job related queries only):
Dr Vaishnavi Ananthanarayanan                E: vaishnavi@iisc.ac.in
Applications close: 11pm, 19th October 2020
Find out more about working at UNSW at https://med.unsw.edu.au/
UNSW is an equal opportunity employer committed to diversity"
433,"The School of Medical Sciences (SoMS) is the largest School within UNSW Medicine, and one of the largest at UNSW. The School is based largely within the Wallace Wurth (Medicine) Building on the Kensington campus, but also includes the Museum of Human Disease in the Samuels Building and the UNSW Lifestyle Clinic on High Street, Randwick. Single Molecule Science UNSW
The Opportunity  

3-Year, Full time Fixed-term opportunity
Level A: $77K - $103K (+ 17% superannuation & leave loading)
Sydney, Australia based.

The role of Postdoctoral Fellow is an exciting opportunity to work closely with senior researchers and provide support across a number of ongoing projects in various areas of the research. The successful applicant will drive a research project in the Ananthanarayanan group, experimentally support other students and researchers in the group, help define and drive new research directions aligned with the overall goals of the group and the single molecule science unit.
Please refer to the position description for more details.  Level A - Postdoctoral Fellow - SOMS
Skills and Experience

PhD in bioengineering, cell biology, biophysics, or related discipline. Candidates who have submitted their PhD thesis may also apply but joining will be contingent on award of degree.
Demonstrated experience in microscopy techniques, including total interal reflection fluorescence microscopy and confocal microscopy
Demonstrated experience in single-molecule imaging, particularly in in cellulo mammalian systems
Demonstrated experience in single-particle tracking and biophysical characterisation of single-molecule trajectories
Demonstrated expertise in cell and tissue culture techniques
Demonstrated expertise in protein depletion methodologies including siRNA or CRISPR
Demonstrated expertise in cell biology, particularly cytoskeletal and motor protein biology, and cargo trafficking
Demonstrated expertise in molecular biology techniques
Proven track record in publishing scientific research papers and communicating research at national and international conferences via poster and/or oral presentations
Excellent oral and written communication skills, attention to detail and the ability to liaise effectively with all levels of staff, students, management, collaborators and members of the public with relevant data analysis skills
Proven ability in working effectively as a member of a multidisciplinary team and in supervising technical staff and students
Knowledge of health and safety responsibilities and commitment to attending relevant health and safety training

Please apply online - applications will not be accepted if sent to the contact listed.
Contact (For job related queries only):
Dr Vaishnavi Ananthanarayanan                E: vaishnavi@iisc.ac.in
Applications close: 11pm, 19th October 2020
Find out more about working at UNSW at https://med.unsw.edu.au/
UNSW is an equal opportunity employer committed to diversity"
434,"Grow a Better Tomorrow with Nufarm. We know that growing is about more than just crops and cultivation. It’s about sunshine and rain, early mornings and hard work. It can be frustratingly unpredictable but also wonderfully uplifting. More than anything, it’s about people. Nufarm is the dependable partner behind thousands of agricultural success stories. Every day, growers around the world turn to our products and our people to help with the challenges of fighting disease, weeds and pests, and to increase crop yields.   How can you Unearth the Possibilities with Nufarm? We’re looking for an Electrical Reliability Engineer to join our dynamic manufacturing team based at our Laverton Global Head Office. As our Electrical Reliability Engineer, you’ll be ensuring the reliability of all instrument & electrical plant assets from our HV distribution system to LV instrumentation that is employed across the site. You’ll have a key focus on improving asset reliability that could otherwise adversely affect plant or business operations. In addition, you’ll be supporting our electrical trades to provide technical support during day to day activities.   What will you be doing?  Owning the maintenance requirements on the HV, distribution system as well as instrumentation, and process control systems and their components Reviewing the performance of critical equipment and putting plans in place to improve the Reliability, Availability, Maintainability and Safety (RAMS) of this equipment. Including the creation and management of equipment criticality process Providing technical expertise regarding instrument & electrical equipment to support the production teams and maintain production and process improvement Ensuring new or modified equipment is designed to maximize asset life cycle and limit reliability related issues Proving input into the Nufarm capital plan to ensure end of life equipment is replaced prior to failure.   What do you bring? You bring extensive experience in manufacturing equipment reliability and a strong knowledge of Root Cause Analysis (RCA), Failure Mode Effect Analysis (FMEA) and Reliability Centered Maintenance (RCM). You’re Tertiary qualified in Engineering and have HV industry access operator training.   You have a strong scientific approach to solving problems, the ability to make data-based decisions, and you’re comfortable working in a team environment with a high degree of initiative and self-motivation. Six Sigma familiarity and knowledge of Bailey DCS & Citect SCADA systems will be highly regarded.   If you want to be a part of a thriving, supportive environment and are inspired by the prospect of being a part of something bigger, we’d love to hear from you.  We are an equal opportunity employer and we value diversity. All employment decisions are decided based on qualifications, merit and business needs. We are committed to building an inclusive environment for all Nufarm employees.   #LI-POST"
435,"BUSINESS ANALYST Part-time (0.6 FTE/22.8 hours per week) Bethesda Health Care, a values-based organisation with an enviable reputation, located on the gorgeous banks of the Derbarl Yerrigan (Swan River), is offering the opportunity to join the Analytics team as a Business Analyst. Ideally, you will have relevant, qualifications in Finance, Engineering, Computer Science or similar that will assist you in the provision of research, analysis and modeling for current and proposed business opportunities within a corporate environment. Your demonstrated experience with dashboard software will enable you to provide data and planning support for performance improvement and optimisation projects. Essential Criteria   High level conceptual and analytic skills and the ability to interpret complex data systems Knowledge of reporting tools and ability to undertake statistical analysis to identify trends Knowledge of business planning Intermediate to advanced skills with Microsoft Excel and PowerPoint Critical thinking: ability to structure a solution to an open-ended problem, identifying key focus areas Ability to perform detailed analysis while maintaining sight of the 'big picture' Well-developed time management skills, with the ability to manage numerous competing tasks Strong written communication skills, including the ability to distil and summarise complex, detailed information into the key messages Professional and clear verbal communication skills, including the ability to explain analyses and conclusions drawn from data Demonstrated information technology acumen Demonstrated experience in complex analysis and modelling Experience maintaining strong working relationships with internal and external key stakeholders. Excellent communication skills – both written and verbal Leadership skills and working as a team member Tertiary qualifications in a relevant discipline or equivalent demonstrated ability A commitment to working within a values- and behaviour-based organisation Currently hold or willing to obtain a National Police Clearance Full working rights in Australia Desired Criteria  Preferential to have an understanding and ability with the following: Microsoft Power BI, Tableau or other dashboarding/reporting tools TSQL / SQL Understanding and knowledge of the small private hospital environment Experience maintaining strong working relationships with internal and external key stakeholders Benefits   Friendly and modern work environment Salary Packaging Access to parking Discounted staff meals Close to public transport For further information contact Rebecca Vincent, Manager Business Analytics and Projects on 9340 6326. To apply please e-mail your CV with a covering letter addressing the selection criteria and outlining your experience in relation to the position along with an application form that can be found on our web site to: rvincent@bethesda.org.au by close Friday 9 October2020. To view the job description and learn more about the hospital, visit  www.bethesda.org.au. Please note that successful applicants will be contacted via phone or email. Unfortunately, due to the high volume of applications received for our current vacancies, we are unable to provide an individual acknowledgement or feedback about your application if you are not successful for short listing. We reserve the right to close applications before the specified closing date.  "
436,"DXC Technology (NYSE: DXC) is the world’s leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology serves nearly 6,000 private and public sector clients across 70 countries. The company’s technology independence, global talent and extensive partner alliance combine to deliver powerful next-generation IT services and solutions. DXC Technology is recognized among the best corporate citizens globally. For more information, visit www.dxc.technology Connect, a DXC Technology Company provides expert managed services around the best technology deployment for your business. Our vision is of a creative, dynamic partnership, achieving fast efficiency gains today and transforming your business to exploit the digital future. The Network Operations Team Lead is the Team Lead in the Network Support team for a major customer and to deliver network support and managed services. The lead must have strong analytical abilities and a problem-solving attitude along with the ability to give clear technical instructions to technical and non-technical staff. The Network Operations Team Lead focuses on the most complex issues the team will face. They must investigate, develop, and implement proactive measures to ensure the team are exceeding business expectations. They will also utilise their extensive skills to ensure that their networks are scalable, future proof and stable. In this lead role you will be a mentor to other Network Support engineers and provides support and assistance to the group during network incidents. The Network Operations Team Lead will be required to be on call and will be working with Services Delivery Managers (SDM) and Project engineers on major incidents within business hours and after business hours. The Network Operations Team Lead will act as a 3rd level escalation point and is responsible for liaising with 3rd party vendors, SDM, Network Support engineers and other network engineers on complex issues, new offerings, and design considerations. In this role, your  key responsibilities and day-to-day activities will include:  Contributing towards meeting contractual Service Level Agreements Managing resources within the Network Support team Managing the oncall roster within the Network Support team Managing the aging tickets within the Network Support team Managing the problem tickets within the Network Support team Managing Knowledge Base within the Network Support team Being a mentor to Network Support team engineers Perform regular performance reviews with Network Support team Attend weekly customer Release meeting when required Provide feedback on Teamgage Manage the Position Descriptions, goals and objects, learning and development artefacts for network support team Provide recognition and encouragement to the team Ensure we achieve the SLAs in the Queues Run the weekly SLA meeting Run the daily huddle Run a weekly team meeting Provide business/mgmt. updates Manage on-call roster Manage resources allocation Training and developing plan for Network Support team engineers Perform troubleshooting on identified issues in a timely fashion with a focus on providing the best resolution Ensuring preventative maintenance plans are in place and are being carried out Demonstrate proactive ownership of identified issues as well as effective communications for suggested resolution efforts. Be an advocate for DXC Connect values and actively participate in defined ITIL processes such as Incident, Request, Problem, and Change management   Skills and Experience: Critical  At least 5 years experience in managing team of 10 or more network engineers At least 8 years in other network engineering (Data Center/Routing & Switching/Security – one or more) within a Managed Service Provider or Telco environment Must possess a good working knowledge of (three or more) of the following products/brand offerings: Cisco Data Center, networking and security products Authentication products Cisco ISE F5 LTM and GTM Checkpoint Firewalls Infoblox products ExtraHop Automation using Python or other scripting languages Must be able demonstrate strong working examples of proactive and reactive accountabilities as defined earlier within this Position Description. Must be able to understand and present complex solutions to customers and can therefore communicate effectively (written/orally) Desirable  Previous Experience in a managed service environment or other incident management role Experience in Knowledge Centered Support methodology or equivalent knowledge management practice Degree (or equivalent industry-based certifications) in Computing Science, Computer/Network Engineering Cisco CCNP/CCIE in Routing & Switching and/or MPLS/Data Center/Security ITIL V3 Foundations (practitioner desirable)   Trust, Transform & Thrive with a company whose mission is to leading clients on their digital transformation journeys, DXC Technology will be recognised globally as a force multiplier, enabling clients to seize the opportunities presented by today’s rapidly changing technologies"
437,"Nasdaq (Nasdaq: NDAQ) is a global technology company serving the capital markets and other industries. Our diverse offering of data, analytics, software and services enables clients to optimize and execute their business vision with confidence. To learn more about the company, technology solutions and career opportunities, visit us on LinkedIn, on Twitter @Nasdaq, or at www.nasdaq.com.   Located in modern offices overlooking the Sydney Harbour Bridge, we look to recruit individuals with the passion to thrive in a highly dynamic and global environment. We offer a competitive salary, bonuses and a comprehensive benefits package that includes a top of the range health plan.   Our Global Technology SMARTS Surveillance technology powers surveillance and compliance for over 40 marketplaces, 11 regulators and 100 market participants across 65 markets globally. Scalable to millions of transactions and flexible to manage a number of unique data sources, SMARTS Surveillance holistically examines scenarios across multiple venues and asset classes.   We are currently seeking a Junior Software Developer with a combination of skills to join our SMARTS Alerts team. In this role, you will be responsible for designing, developing, modifying, adapting and implementing solutions to information technology needs through new and existing applications, systems architecture, systems strategy, integration services and applications infrastructure to meet client requirements.   Your Day Will Include    Following work instructions; codes, tests, debugs, implements and maintains software solutions Developing tests, debugging and implementing operating systems components, software tools and utilities Providing technical support in a defined project Developing program logic for new applications or analysing and modifying logic in existing applications, often learning on the job from more senior colleagues as size of the challenge increases Modifying existing internal software products to add new functions, adapting to new hardware, improving performance or enhancing product usability Implementing and monitoring basic system improvements to increase efficiency Supporting applications to be compatible across multiple computing platforms and browsers   The Best-Suited Candidate To be considered for this role your skills will include but not be limited to  At least 1 year of experience developing applications for Unix/Linux environments using Java A solid understanding of algorithms (e.g. experienced in sorting, merging, parsing data) Ability to quickly learn ALICE, a 4G proprietary language used by NASDAQ for finding patterns in complete/ large amount of data Excellent communication skills both written and oral combined with a self-motivated attitude A strong academic record with a Degree in Computer Science, Information Systems or similar is highly desirable as is the ability to handle pressure in a fast paced environment     Nasdaq offers you a workplace where you can truly make a difference. We provide a competitive salary package and benefits, in an environment that offers support, and encourages career development and learning.   Nasdaq recognise the value of diversity in the workplace and supports a range of flexible work arrangements to promote a better family/life/work balance.   We wish to thank all applicants for their interest and effort in applying for this position, however, only candidates selected for interviews will be contacted.   Please also note this is a permanent, full time position so candidates should have full working rights in Australia."
438,"Assistant Plant Breeder – Maternity Leave Cover Enza Zaden is a global leader in vegetable seed production and plant breeding. We produce and sell seed of our varieties all over the world. Both for conventional and organic growers. Our Australian research and development branch is based in Narromine, NSW and specializes in onion, brassica, lettuce, and cucurbit plant breeding and research. We are currently seeking a temporary assistant plant breeder for maternity leave replacement to join the cucurbit and brassica plant breeding team in Narromine, NSW. Enza Zaden has more than 2000 colleagues worldwide working together on the vegetables of tomorrow. We aim to achieve strong healthy, tasty, and climate-proof vegetable varieties with higher yield, and less need of crop pesticides.  About the role: The assistant breeder will be responsible for taking over research trials in pumpkin and watermelon breeding focusing on improved overall quality and seed production.  They will also be required to assist in managing the broccoli and cauliflower breeding trials. The position is a maternity leave replacement role for 14 months with some training provided. Responsibilities include:  Design, establish, and conduct field and postharvest trials. Manage and assist with all aspects of field research, including seed cleaning, planting, data collection, harvesting, and shipments. Manage and assist a casual team in plant pollinations Communicate with an international team regarding regular progress of all breeding trials Perform research tasks, including collecting accurate data, analyzing data, and presenting results. Manage research data using computer-based programs Required skills: To be successful you must have the following skills:  Degree in Agriculture or horticulture science (or equivalent experience). Any experience in horticulture, plant breeding, or knowledge of plant science experiments. Ability to undertake outdoor physical field work. Attention to detail, record keeping, and organizational skills. Good written and verbal communication skills. Good administrative and computer skills. Self-motivation and ability to direct others. Works well under pressure Recent graduates are encouraged to apply. Continuous work opportunities may become available for the right applicant at the end of the maternity leave period. Please send your application to: Enza Zaden Australia Pty Limited Attn. Kaylene Galvin 218 Eumungerie Road Narromine 2821 NSW Australia Phone 0404 020 279 Email: resumesau@enzazaden.com.au  "
439,"Our Company Novotech is internationally recognized as the leading regional full-service contract research organization (CRO). Novotech has been instrumental in the success of hundreds of Phase I - IV clinical trials in the Asia Pacific region. About the OpportunityAs a result of continued growth and success we are currently seeking a talented Data Manager to Senior Data Manager (dependent upon experience) to join our team. In this role, you will be responsible for supporting the day-to-day operations of data management projects using tools like Medidata Rave® EDC, PCG Viedoc® and Oracle InForm   Responsibilities:  Controlling all aspects of data management and to ensure compliance with Good Clinical Data Management Practices (GCDMP); Determination of project feasibility from a data management perspective; Providing input into the preparation of RFP's in liaison with BD and the clinical team; Provide expert assistance and input into internal cross-functional projects including clinical research and regulatory affairs, as assigned; and Supervising and providing training support for junior and contract Data Management staff as required.   What are we looking for? This role can be based out of the Syd, Melb, or Bris office or be remotely basedTertiary qualifications in a clinical or life sciences related fieldSolid knowledge of GCP, GCDMP, national and international regulationsExcellent interpersonal and team skillsProven experience in the Data Management field as a Lead DMAbility to embrace a fast changing environment The BenefitsTo achieve the highest standards in drug development, our people are 'best in class' and work tirelessly to develop better, safer and more effective therapeutics. In recognition of our people's commitment to quality and the skills they bring, Novotech rewards generously, offering competitive salaries, attractive bonus potential and a full range of benefits tailored to meet a balanced lifestyle. The OpportunitiesWe place a strong emphasis on a collaborative and collegiate work environment, giving you the opportunity to make a difference. We provide numerous opportunities to progress personally and professionally with scope to define your career path. Regular targeted internal and external training, as well as learning and knowledge-sharing opportunities, are an integral part of the development program for our valued staff."
440,"About the Company: Our client, one of the major players in their field, require the assistance of Evolve Scientific Recruitment to source a QC Validation Specialist (Microbiology) to join the team for a 6 month contract with view for extension.This ultra-modern facility is easily accessible by public transport and has free on-site parking. It is located not far from Melbourne CBD. The Validation Specialist will be required to troubleshoot technical issues, develop current and existing methods and be current with the latest analytical testing technologies. The role requires the execution of intra site method transfers and input into regulatory filings/audits.  The successful candidate is required to:Maintain the compliant status of QC method validation lifecycleTroubleshoot technical challenges with QC test methodsInfluence QC leadership on direction for method improvements/replacementManage the conduct of preventative maintenance, calibration, and validation activitiesConduct investigations (deviations/OOS)Execution of method standardisation and development of current and new test methodsExperimental design on key projects that involve new technologies and processes to QC If you have worked in a highly regulated GMP environment then we would love to hear from you. Skills & Experience:To be successful in this position you will have:A Bachelor of Science majoring in Microbiology or equivalent fieldDemonstrate experience in QC testing (Microbiology) in a highly regulated GMP environmentDemonstrate experience in analysing and trending dataMethod development and validation experienceKnowledge of continuous improvement techniques and advanced root cause analysis techniques  How to Apply:Click on the ""Apply Now"" button with a cover letter addressing the selection criteria above AND a detailed resume in WORD format (PDFs can be corrupted / not processed). Note: Applications only accepted from Australian / NZ residents with valid Australian work rights or temporary residents on work visas e.g. Working Holiday Visa. Need more information:Please call Carolyne Nsair on 0452386583 How to Register with Evolve:For upcoming positions please click on the ""Apply Now” button. By applying to any of our roles you will also be registered for future positions unless you request not to be. Why Evolve Scientific Recruitment? Evolve is an award winning agency specialising in scientific/technical recruitment in: Pharmaceutical, Food, Biotechnology, Chemical, Petrochemical, Environmental, Health Services, Life Sciences, Mining and more."
